Paramters,Infection Rate (_),Incubation Rate (_),Recovery Rate (_),Sampling rate,S,E,I,R,Sample,logEvery
SEIR_p_d7_r10,1.37,0.083,0.14,0.032221,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.030214,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.036699,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.030851,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.033684,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.022173,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.044545,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.040126,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.127719,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.057021,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.096957,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.130562,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.126,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.233333,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.076364,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.110526,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.091897,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.055711891,10000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.077699529,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.032221,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.030214,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.036699,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.030851,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.033684,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.022173,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.044545,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.040126,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.127719,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.057021,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.096957,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.130562,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.126,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.233333,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.076364,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.110526,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.091897,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.055711891,10000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.077699529,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.032221,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.030214,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.036699,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.030851,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.033684,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.022173,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.044545,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.040126,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.127719,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.057021,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.096957,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.130562,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.126,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.233333,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.076364,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.110526,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.091897,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.055711891,10000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.077699529,10000,1,0,0,0,7
